book,chapter,verse_count,en_chunk_count,ja_chunk_count,total_chunk_count,density_score,tier
DAN,1,21,0,0,0,0.0,低優先
DAN,2,49,1,0,1,0.02,低優先
DAN,3,30,1,0,1,0.033,低優先
DAN,4,37,0,0,0,0.0,低優先
DAN,5,31,1,0,1,0.032,低優先
DAN,6,28,1,0,1,0.036,低優先
DAN,7,28,1,0,1,0.036,低優先
DAN,8,27,0,0,0,0.0,低優先
DAN,9,27,1,0,1,0.037,低優先
DAN,10,21,0,0,0,0.0,低優先
DAN,11,45,0,0,0,0.0,低優先
DAN,12,13,1,1,2,0.154,低優先
ECC,1,18,3,0,3,0.167,低優先
ECC,2,26,0,0,0,0.0,低優先
ECC,3,22,3,1,4,0.182,低優先
ECC,4,16,2,0,2,0.125,低優先
ECC,5,20,1,0,1,0.05,低優先
ECC,6,12,0,0,0,0.0,低優先
ECC,7,29,2,0,2,0.069,低優先
ECC,8,17,0,0,0,0.0,低優先
ECC,9,18,2,0,2,0.111,低優先
ECC,10,20,3,0,3,0.15,低優先
ECC,11,10,1,0,1,0.1,低優先
ECC,12,14,2,1,3,0.214,一般
GEN,1,31,1,0,1,0.032,低優先
GEN,2,25,4,1,5,0.2,一般
GEN,3,24,2,1,3,0.125,低優先
GEN,4,26,2,0,2,0.077,低優先
GEN,5,32,0,0,0,0.0,低優先
GEN,6,22,1,0,1,0.045,低優先
GEN,7,24,0,0,0,0.0,低優先
GEN,8,22,1,0,1,0.045,低優先
GEN,9,29,0,0,0,0.0,低優先
GEN,10,32,1,0,1,0.031,低優先
GEN,11,32,1,1,2,0.062,低優先
GEN,12,20,0,0,0,0.0,低優先
GEN,13,18,0,0,0,0.0,低優先
GEN,14,24,0,0,0,0.0,低優先
GEN,15,21,0,0,0,0.0,低優先
GEN,16,16,0,0,0,0.0,低優先
GEN,17,27,0,0,0,0.0,低優先
GEN,18,33,0,0,0,0.0,低優先
GEN,19,38,0,0,0,0.0,低優先
GEN,20,18,0,0,0,0.0,低優先
GEN,21,34,0,0,0,0.0,低優先
GEN,22,24,0,0,0,0.0,低優先
GEN,23,20,0,0,0,0.0,低優先
GEN,24,67,0,0,0,0.0,低優先
GEN,25,34,0,0,0,0.0,低優先
GEN,26,35,0,0,0,0.0,低優先
GEN,27,46,0,0,0,0.0,低優先
GEN,28,22,0,0,0,0.0,低優先
GEN,29,35,0,0,0,0.0,低優先
GEN,30,43,0,0,0,0.0,低優先
GEN,31,55,0,0,0,0.0,低優先
GEN,32,32,0,0,0,0.0,低優先
GEN,33,20,0,0,0,0.0,低優先
GEN,34,31,0,0,0,0.0,低優先
GEN,35,29,0,0,0,0.0,低優先
GEN,36,43,0,0,0,0.0,低優先
GEN,37,36,0,0,0,0.0,低優先
GEN,38,30,0,0,0,0.0,低優先
GEN,39,23,0,0,0,0.0,低優先
GEN,40,23,0,0,0,0.0,低優先
GEN,41,57,0,0,0,0.0,低優先
GEN,42,38,0,0,0,0.0,低優先
GEN,43,34,0,0,0,0.0,低優先
GEN,44,34,0,0,0,0.0,低優先
GEN,45,28,0,0,0,0.0,低優先
GEN,46,34,0,0,0,0.0,低優先
GEN,47,31,0,0,0,0.0,低優先
GEN,48,22,0,0,0,0.0,低優先
GEN,49,33,0,0,0,0.0,低優先
GEN,50,26,0,0,0,0.0,低優先
ISA,1,31,1,1,2,0.065,低優先
ISA,2,22,1,0,1,0.045,低優先
ISA,3,26,0,0,0,0.0,低優先
ISA,4,5,0,0,0,0.0,低優先
ISA,5,30,1,0,1,0.033,低優先
ISA,6,13,1,0,1,0.077,低優先
ISA,7,25,0,0,0,0.0,低優先
ISA,8,22,0,0,0,0.0,低優先
ISA,9,21,2,0,2,0.095,低優先
ISA,10,34,0,0,0,0.0,低優先
ISA,11,16,1,0,1,0.062,低優先
ISA,12,6,0,0,0,0.0,低優先
ISA,13,22,0,0,0,0.0,低優先
ISA,14,32,0,0,0,0.0,低優先
ISA,15,9,0,0,0,0.0,低優先
ISA,16,14,0,0,0,0.0,低優先
ISA,17,14,0,0,0,0.0,低優先
ISA,18,7,0,0,0,0.0,低優先
ISA,19,25,0,0,0,0.0,低優先
ISA,20,6,0,0,0,0.0,低優先
ISA,21,17,0,0,0,0.0,低優先
ISA,22,25,1,0,1,0.04,低優先
ISA,23,18,0,0,0,0.0,低優先
ISA,24,23,0,0,0,0.0,低優先
ISA,25,12,1,0,1,0.083,低優先
ISA,26,21,0,0,0,0.0,低優先
ISA,27,13,0,0,0,0.0,低優先
ISA,28,29,0,0,0,0.0,低優先
ISA,29,24,0,0,0,0.0,低優先
ISA,30,33,0,0,0,0.0,低優先
ISA,31,9,0,0,0,0.0,低優先
ISA,32,20,0,0,0,0.0,低優先
ISA,33,24,0,0,0,0.0,低優先
ISA,34,17,0,0,0,0.0,低優先
ISA,35,10,0,0,0,0.0,低優先
ISA,36,22,0,0,0,0.0,低優先
ISA,37,38,0,0,0,0.0,低優先
ISA,38,22,0,0,0,0.0,低優先
ISA,39,8,0,0,0,0.0,低優先
ISA,40,31,4,0,4,0.129,低優先
ISA,41,29,0,0,0,0.0,低優先
ISA,42,25,0,0,0,0.0,低優先
ISA,43,28,0,0,0,0.0,低優先
ISA,44,28,0,0,0,0.0,低優先
ISA,45,25,0,0,0,0.0,低優先
ISA,46,13,0,0,0,0.0,低優先
ISA,47,15,0,0,0,0.0,低優先
ISA,48,22,0,0,0,0.0,低優先
ISA,49,26,0,0,0,0.0,低優先
ISA,50,11,0,0,0,0.0,低優先
ISA,51,23,0,0,0,0.0,低優先
ISA,52,15,1,0,1,0.067,低優先
ISA,53,12,3,0,3,0.25,一般
ISA,54,17,0,0,0,0.0,低優先
ISA,55,13,2,0,2,0.154,低優先
ISA,56,12,0,0,0,0.0,低優先
ISA,57,21,0,0,0,0.0,低優先
ISA,58,14,1,0,1,0.071,低優先
ISA,59,21,0,0,0,0.0,低優先
ISA,60,22,0,0,0,0.0,低優先
ISA,61,11,2,0,2,0.182,低優先
ISA,62,12,0,0,0,0.0,低優先
ISA,63,19,0,0,0,0.0,低優先
ISA,64,12,0,0,0,0.0,低優先
ISA,65,25,1,0,1,0.04,低優先
ISA,66,24,0,0,0,0.0,低優先
JHN,1,51,0,0,0,0.0,低優先
JHN,2,25,0,0,0,0.0,低優先
JHN,3,36,1,1,2,0.056,低優先
JHN,4,54,1,1,2,0.037,低優先
JHN,5,47,0,0,0,0.0,低優先
JHN,6,71,0,0,0,0.0,低優先
JHN,7,53,0,0,0,0.0,低優先
JHN,8,59,3,0,3,0.051,低優先
JHN,9,41,1,0,1,0.024,低優先
JHN,10,42,0,0,0,0.0,低優先
JHN,11,57,1,0,1,0.018,低優先
JHN,12,50,1,1,2,0.04,低優先
JHN,13,38,0,0,0,0.0,低優先
JHN,14,31,0,0,0,0.0,低優先
JHN,15,27,0,0,0,0.0,低優先
JHN,16,33,0,0,0,0.0,低優先
JHN,17,26,0,0,0,0.0,低優先
JHN,18,40,1,0,1,0.025,低優先
JHN,19,42,1,0,1,0.024,低優先
JHN,20,31,0,0,0,0.0,低優先
JHN,21,25,0,0,0,0.0,低優先
LUK,1,80,0,0,0,0.0,低優先
LUK,2,52,0,0,0,0.0,低優先
LUK,3,38,0,0,0,0.0,低優先
LUK,4,44,1,1,2,0.045,低優先
LUK,5,39,0,0,0,0.0,低優先
LUK,6,49,1,0,1,0.02,低優先
LUK,7,50,0,0,0,0.0,低優先
LUK,8,56,0,0,0,0.0,低優先
LUK,9,62,1,0,1,0.016,低優先
LUK,10,42,1,0,1,0.024,低優先
LUK,11,54,0,0,0,0.0,低優先
LUK,12,59,2,0,2,0.034,低優先
LUK,13,35,0,0,0,0.0,低優先
LUK,14,35,1,0,1,0.029,低優先
LUK,15,32,2,1,3,0.094,低優先
LUK,16,31,1,0,1,0.032,低優先
LUK,17,37,1,0,1,0.027,低優先
LUK,18,43,1,0,1,0.023,低優先
LUK,19,48,2,0,2,0.042,低優先
LUK,20,47,0,0,0,0.0,低優先
LUK,21,38,0,0,0,0.0,低優先
LUK,22,71,0,0,0,0.0,低優先
LUK,23,56,1,0,1,0.018,低優先
LUK,24,53,1,1,2,0.038,低優先
MAT,1,25,0,0,0,0.0,低優先
MAT,2,23,0,0,0,0.0,低優先
MAT,3,17,2,1,3,0.176,低優先
MAT,4,25,1,0,1,0.04,低優先
MAT,5,48,3,1,4,0.083,低優先
MAT,6,34,1,0,1,0.029,低優先
MAT,7,29,3,2,5,0.172,低優先
MAT,8,34,2,0,2,0.059,低優先
MAT,9,38,1,2,3,0.079,低優先
MAT,10,42,1,0,1,0.024,低優先
MAT,11,30,1,1,2,0.067,低優先
MAT,12,50,1,0,1,0.02,低優先
MAT,13,58,3,1,4,0.069,低優先
MAT,14,36,2,0,2,0.056,低優先
MAT,15,39,1,1,2,0.051,低優先
MAT,16,28,3,1,4,0.143,低優先
MAT,17,27,1,1,2,0.074,低優先
MAT,18,35,3,0,3,0.086,低優先
MAT,19,30,2,1,3,0.1,低優先
MAT,20,34,3,0,3,0.088,低優先
MAT,21,46,1,0,1,0.022,低優先
MAT,22,46,2,0,2,0.043,低優先
MAT,23,39,3,1,4,0.103,低優先
MAT,24,51,3,1,4,0.078,低優先
MAT,25,46,4,1,5,0.109,低優先
MAT,26,75,3,0,3,0.04,低優先
MAT,27,66,3,2,5,0.076,低優先
MAT,28,20,0,0,0,0.0,低優先
MRK,1,45,0,0,0,0.0,低優先
MRK,2,28,0,0,0,0.0,低優先
MRK,3,35,0,0,0,0.0,低優先
MRK,4,41,2,0,2,0.049,低優先
MRK,5,43,0,0,0,0.0,低優先
MRK,6,56,1,0,1,0.018,低優先
MRK,7,37,1,0,1,0.027,低優先
MRK,8,38,0,0,0,0.0,低優先
MRK,9,50,0,0,0,0.0,低優先
MRK,10,52,1,1,2,0.038,低優先
MRK,11,33,0,0,0,0.0,低優先
MRK,12,44,1,1,2,0.045,低優先
MRK,13,37,0,0,0,0.0,低優先
MRK,14,72,0,0,0,0.0,低優先
MRK,15,47,0,0,0,0.0,低優先
MRK,16,20,0,0,0,0.0,低優先
PRO,1,33,6,4,10,0.303,一般
PRO,2,22,4,3,7,0.318,一般
PRO,3,35,5,3,8,0.229,一般
PRO,4,27,4,4,8,0.296,一般
PRO,5,23,1,1,2,0.087,低優先
PRO,6,35,3,4,7,0.2,一般
PRO,7,27,5,1,6,0.222,一般
PRO,8,36,1,1,2,0.056,低優先
PRO,9,18,0,0,0,0.0,低優先
PRO,10,32,3,1,4,0.125,低優先
PRO,11,31,2,2,4,0.129,低優先
PRO,12,28,0,2,2,0.071,低優先
PRO,13,25,0,0,0,0.0,低優先
PRO,14,35,1,1,2,0.057,低優先
PRO,15,33,1,0,1,0.03,低優先
PRO,16,33,1,0,1,0.03,低優先
PRO,17,28,1,0,1,0.036,低優先
PRO,18,24,2,0,2,0.083,低優先
PRO,19,29,3,1,4,0.138,低優先
PRO,20,30,3,0,3,0.1,低優先
PRO,21,31,4,1,5,0.161,低優先
PRO,22,29,4,2,6,0.207,一般
PRO,23,35,5,1,6,0.171,低優先
PRO,24,34,5,1,6,0.176,低優先
PRO,25,28,3,0,3,0.107,低優先
PRO,26,28,2,1,3,0.107,低優先
PRO,27,27,4,1,5,0.185,低優先
PRO,28,28,2,2,4,0.143,低優先
PRO,29,27,3,1,4,0.148,低優先
PRO,30,33,2,0,2,0.061,低優先
PRO,31,31,2,1,3,0.097,低優先
REV,1,20,1,0,1,0.05,低優先
REV,2,29,1,0,1,0.034,低優先
REV,3,22,2,0,2,0.091,低優先
REV,4,11,0,0,0,0.0,低優先
REV,5,14,0,0,0,0.0,低優先
REV,6,17,0,0,0,0.0,低優先
REV,7,17,0,0,0,0.0,低優先
REV,8,13,0,0,0,0.0,低優先
REV,9,21,0,0,0,0.0,低優先
REV,10,11,0,0,0,0.0,低優先
REV,11,19,0,0,0,0.0,低優先
REV,12,18,0,0,0,0.0,低優先
REV,13,18,1,0,1,0.056,低優先
REV,14,20,0,0,0,0.0,低優先
REV,15,8,0,0,0,0.0,低優先
REV,16,21,2,0,2,0.095,低優先
REV,17,18,0,0,0,0.0,低優先
REV,18,24,0,0,0,0.0,低優先
REV,19,21,1,0,1,0.048,低優先
REV,20,15,1,0,1,0.067,低優先
REV,21,27,0,0,0,0.0,低優先
REV,22,21,0,0,0,0.0,低優先
PSA,1,6,2,2,4,0.667,優先
PSA,2,12,2,2,4,0.333,一般
PSA,3,8,3,3,6,0.75,優先
PSA,4,8,5,1,6,0.75,優先
PSA,5,12,3,4,7,0.583,優先
PSA,6,10,3,0,3,0.3,一般
PSA,7,17,7,5,12,0.706,優先
PSA,8,9,0,1,1,0.111,低優先
PSA,9,20,8,8,16,0.8,優先
PSA,10,18,5,9,14,0.778,優先
PSA,11,7,1,0,1,0.143,低優先
PSA,12,8,2,3,5,0.625,優先
PSA,13,6,2,3,5,0.833,優先
PSA,14,7,3,1,4,0.571,優先
PSA,15,5,3,2,5,1.0,優先
PSA,16,11,3,1,4,0.364,一般
PSA,17,15,4,8,12,0.8,優先
PSA,18,50,16,7,23,0.46,一般
PSA,19,14,4,3,7,0.5,優先
PSA,20,9,2,4,6,0.667,優先
PSA,21,13,4,7,11,0.846,優先
PSA,22,31,6,12,18,0.581,優先
PSA,23,6,4,3,7,1.167,優先
PSA,24,10,4,4,8,0.8,優先
PSA,25,22,7,9,16,0.727,優先
PSA,26,12,2,3,5,0.417,一般
PSA,27,14,12,12,24,1.714,優先
PSA,28,9,4,2,6,0.667,優先
PSA,29,11,2,4,6,0.545,優先
PSA,30,12,7,6,13,1.083,優先
PSA,31,24,8,6,14,0.583,優先
PSA,32,11,3,4,7,0.636,優先
PSA,33,22,5,1,6,0.273,一般
PSA,34,22,5,3,8,0.364,一般
PSA,35,28,9,7,16,0.571,優先
PSA,36,12,3,3,6,0.5,優先
PSA,37,40,11,16,27,0.675,優先
PSA,38,22,2,0,2,0.091,低優先
PSA,39,13,2,3,5,0.385,一般
PSA,40,17,3,4,7,0.412,一般
PSA,41,13,4,2,6,0.462,一般
PSA,42,11,3,3,6,0.545,優先
PSA,43,5,1,0,1,0.2,一般
PSA,44,26,12,9,21,0.808,優先
PSA,45,17,1,1,2,0.118,低優先
PSA,46,11,2,0,2,0.182,低優先
PSA,47,10,1,2,3,0.3,一般
PSA,48,14,1,2,3,0.214,一般
PSA,49,20,1,2,3,0.15,低優先
PSA,50,23,1,2,3,0.13,低優先
